n;time
1000;0.002021
2000;0.008125
3000;0.018402
4000;0.033937
5000;0.051278
6000;0.073765
7000;0.101477
8000;0.131136
9000;0.165726
10000;0.205395
11000;0.249085
12000;0.296208
13000;0.351592
14000;0.403618
15000;0.465073
16000;0.526186
17000;0.594269
18000;0.665372
19000;0.742738
20000;1.391660
21000;1.867338
22000;1.936859
23000;2.164678
24000;2.418207
25000;2.602613
26000;2.824835
27000;2.966181
28000;3.318245
29000;3.430567
30000;3.672387
31000;3.868754
32000;4.314549
33000;4.499826
34000;4.779410
35000;4.982335
36000;5.240763
37000;5.591494
38000;5.895659
39000;6.462295
40000;6.542721
41000;6.931708
42000;7.333938
43000;7.498451
44000;8.249992
45000;8.191788
46000;8.573385
47000;9.340917
48000;9.538982
49000;9.841881
50000;10.231361
51000;11.156446
52000;11.252584
53000;11.485188
54000;11.888960
55000;12.727188
56000;13.028325
57000;13.484042
58000;13.915512
59000;14.394468
60000;14.805664
61000;15.367520
62000;15.938307
63000;16.373504
64000;16.943741
65000;17.497061
66000;17.491696
67000;18.520827
68000;19.094199
69000;20.453268
70000;20.287603
71000;21.190151
72000;21.168130
73000;22.202009
74000;22.691582
75000;23.071635
76000;23.887935
77000;24.631522
78000;25.313669
79000;25.700968
80000;26.568587
